TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,TransactionType,Location,Channel,CustomerOccupation,PreviousTransactionDate,CustomerAgeBin,Target
14.09,70.0,81.0,1.0,5112.21,2023-04-11 16:29:14,Debit,San Diego,ATM,Doctor,2024-11-04 08:08:08,Senior,2
376.24,68.0,141.0,1.0,13758.91,2023-06-27 16:44:19,Debit,Houston,ATM,Doctor,2024-11-04 08:09:35,Senior,1
126.29,19.0,56.0,1.0,1122.35,2023-07-10 18:16:08,Debit,Mesa,Online,Student,2024-11-04 08:07:04,Young,1
184.5,26.0,25.000000000000004,1.0,8569.06,2023-05-05 16:32:11,Debit,Raleigh,Online,Student,2024-11-04 08:09:06,Young,2
92.15,18.0,172.0,1.0,781.68,2023-04-03 17:15:01,Debit,Oklahoma City,ATM,Student,2024-11-04 08:06:36,Young,2
7.08,37.0,139.0,1.0,13316.71,2023-02-15 16:36:48,Credit,Seattle,ATM,Doctor,2024-11-04 08:10:09,Adult,2
171.42,67.0,291.0,1.0,2796.24,2023-05-08 17:47:59,Credit,Indianapolis,Branch,Retired,2024-11-04 08:10:55,Senior,2
106.23,51.0,86.0,1.0,9095.14,2023-03-21 16:59:46,Credit,Detroit,Branch,Engineer,2024-11-04 08:11:14,Senior,2
815.96,55.0,120.0,1.0,1021.8800000000001,2023-03-31 16:06:57,Debit,Nashville,ATM,Doctor,2024-11-04 08:06:32,Senior,2
17.78,52.0,59.00000000000001,1.0,7599.5199999999995,2023-03-14 16:46:10,Credit,Albuquerque,Online,Engineer,2024-11-04 08:06:45,Senior,2
190.02,21.0,173.0,1.0,1528.81,2023-02-06 17:30:00,Debit,Memphis,Online,Student,2024-11-04 08:07:12,Young,2
494.52,24.0,111.0,1.0,1620.02,2023-06-07 17:21:28,Credit,Mesa,Branch,Student,2024-11-04 08:08:38,Young,1
781.76,26.0,123.0,1.0,189.69,2023-11-20 16:39:15,Debit,Memphis,ATM,Student,2024-11-04 08:07:06,Young,3
166.99,18.0,134.0,1.0,299.93,2023-02-13 16:53:57,Debit,Louisville,Online,Student,2024-11-04 08:10:09,Young,2
465.45,36.0,129.0,1.0,3465.54,2023-12-12 16:23:31,Debit,Denver,ATM,Engineer,2024-11-04 08:12:19,Adult,3
555.8,19.0,158.0,1.0,1131.26,2023-10-30 16:52:49,Credit,Austin,Branch,Student,2024-11-04 08:07:35,Young,3
492.93,39.0,234.0,1.0,5109.97,2023-12-14 18:32:14,Debit,Columbus,Online,Engineer,2024-11-04 08:11:51,Adult,3
18.68,59.0,106.0,1.0,7948.369999999999,2023-02-21 16:56:50,Credit,Albuquerque,Branch,Retired,2024-11-04 08:12:01,Senior,2
71.48,18.0,169.0,1.0,6568.59,2023-06-08 18:18:50,Credit,Columbus,Online,Student,2024-11-04 08:09:20,Young,1
59.32,71.0,37.99999999999999,1.0,5750.89,2023-02-28 16:36:58,Debit,Los Angeles,Branch,Retired,2024-11-04 08:09:24,Senior,2
85.77,38.0,93.0,1.0,9146.19,2023-08-11 18:31:31,Debit,Las Vegas,Branch,Doctor,2024-11-04 08:08:13,Adult,1
52.2,39.0,120.0,1.0,8974.93,2023-06-06 18:54:15,Debit,Atlanta,Online,Engineer,2024-11-04 08:07:01,Adult,1
145.54,21.0,96.0,1.0,1930.96,2023-03-02 16:43:56,Debit,Raleigh,Online,Student,2024-11-04 08:07:09,Young,2
7.49,65.0,276.0,1.0,3634.67,2023-10-20 17:53:13,Credit,Houston,Online,Retired,2024-11-04 08:09:44,Senior,3
40.32,37.0,95.0,1.0,2686.52,2023-03-29 16:42:38,Debit,Milwaukee,Branch,Engineer,2024-11-04 08:11:59,Adult,2
127.45,44.0,197.0,1.0,1772.06,2023-01-24 16:18:32,Debit,Las Vegas,Online,Doctor,2024-11-04 08:11:22,Adult,2
56.17,27.0,283.0,1.0,1351.69,2023-09-20 16:55:42,Debit,Detroit,Branch,Student,2024-11-04 08:08:30,Young,3
28.31,59.0,20.0,1.0,8334.47,2023-07-17 17:49:22,Credit,Miami,Online,Doctor,2024-11-04 08:09:17,Senior,1
59.12,29.0,257.0,1.0,9823.64,2023-02-06 16:24:24,Debit,Baltimore,ATM,Doctor,2024-11-04 08:06:58,Young,2
877.81,22.0,150.0,1.0,399.0,2023-03-13 17:23:24,Debit,Los Angeles,Online,Student,2024-11-04 08:07:50,Young,2
255.26,45.0,50.00000000000001,1.0,14815.87,2023-10-27 16:42:49,Credit,San Francisco,Branch,Doctor,2024-11-04 08:10:51,Adult,3
124.76,49.0,45.0,1.0,5764.72,2023-10-16 16:32:56,Debit,Seattle,Branch,Engineer,2024-11-04 08:06:23,Adult,3
78.13,26.0,145.0,1.0,900.61,2023-11-21 16:58:44,Debit,Milwaukee,Branch,Student,2024-11-04 08:12:18,Young,3
335.63,55.0,215.99999999999997,1.0,1019.39,2023-01-24 17:17:20,Debit,Oklahoma City,Online,Retired,2024-11-04 08:07:32,Senior,2
328.47,63.0,119.0,1.0,4323.66,2023-07-31 18:39:50,Debit,San Antonio,ATM,Retired,2024-11-04 08:07:31,Senior,1
34.02,38.0,18.999999999999996,1.0,14214.48,2023-01-09 16:13:21,Debit,Philadelphia,Online,Doctor,2024-11-04 08:11:45,Adult,2
241.42000000000002,57.0,116.00000000000001,1.0,13357.02,2023-04-20 18:57:43,Credit,Charlotte,Online,Doctor,2024-11-04 08:09:03,Senior,2
55.32,19.0,117.0,1.0,241.79000000000002,2023-04-12 16:03:37,Debit,Tucson,ATM,Student,2024-11-04 08:08:03,Young,2
304.31,27.0,33.0,1.0,868.61,2023-07-26 16:52:28,Debit,Louisville,Branch,Student,2024-11-04 08:09:53,Young,1
