TransactionAmount,CustomerAge,AccountBalance,TransactionPercentage,CustomerOccupation_encoded,Cluster,PC1,PC2,CustomerOccupation
14.09,70,5112.21,0.27561465589246137,0,1,-236.1690384918511,-262.6931926275684,Doctor
376.24,68,13758.91,2.7345189408172597,0,2,8411.978360410114,62.60372408690506,Doctor
126.29,19,1122.35,11.252283155878292,3,0,-4225.586002611748,-133.31659023463618,Student
184.5,26,8569.06,2.1530949719105714,3,1,3221.311140545032,-107.05315966985725,Student
13.45,26,7429.4,0.18103749966349908,3,1,2080.9314945525275,-273.2396760456197,Student
92.15,18,781.68,11.788711493194146,3,0,-4566.401498718409,-165.9782645294244,Student
7.08,37,13316.71,0.05316628506590593,0,2,7968.15632449671,-304.6273291613638,Doctor
171.42,67,2796.24,6.13037507510085,2,0,-2551.4482416539026,-95.41759390659959,Retired
106.23,51,9095.14,1.1679864191205414,1,1,3747.0821580127367,-187.52406654320708,Engineer
815.96,55,1021.88,79.84890593807492,0,0,-4323.17596395961,558.5449648567551,Doctor
17.78,52,7599.52,0.23396214497757753,1,1,2251.102387139237,-269.6023033527083,Engineer
190.02,21,1528.81,12.429275057070534,3,0,-3818.8559618134923,-71.30596394458354,Student
494.52,24,1620.02,30.525549067295465,3,0,-3726.3675808683524,233.20908758655054,Student
166.99,18,299.93,55.676324475711006,3,0,-5047.914906720246,-87.82460939526075,Student
465.45,36,3465.54,13.430807320071331,1,0,-1880.9438270521587,195.81421177113953,Engineer
555.8,19,1131.26,49.13105740501741,3,0,-4214.902812338884,297.0843222027613,Student
492.93,39,5109.97,9.64643628044783,1,1,-236.40377088480273,216.1822142330319,Engineer
18.68,59,7948.37,0.23501673928113562,2,1,2599.9609171581997,-270.1774113193003,Retired
71.48,18,6568.59,1.0882091894911998,3,1,1220.3701200835867,-211.55865880425367,Student
59.32,71,5750.89,1.0314925168104414,2,1,402.6975038705259,-220.17516031990826,Retired
85.77,38,9146.19,0.9377675294302872,0,2,3798.0269165440995,-208.21431616666723,Doctor
52.2,39,8974.93,0.581620135198826,1,1,3626.626081242178,-241.050489677212,Engineer
345.84,22,1402.5,24.658823529411762,3,0,-3944.5165812803607,85.34442483579323,Student
145.54,21,1930.96,7.537183577080829,3,0,-3416.8925499277625,-117.62057442773559,Student
7.49,65,3634.67,0.20607097755779755,2,0,-1713.72599284038,-263.0164802014816,Retired
246.93,23,673.35,36.67186455780798,3,0,-4674.1081836251,-10.064539330776483,Student
40.32,37,2686.52,1.5008263478403288,1,0,-2661.761806684901,-226.16530467107796,Engineer
127.45,44,1772.06,7.192194395223639,0,0,-3575.837198855168,-135.00972916590212,Doctor
56.17,27,1351.69,4.1555386220213215,3,0,-3996.5259521808457,-204.58071526012668,Student
28.31,59,8334.47,0.33967366851161507,0,1,2986.097845087391,-262.1901808518511,Doctor
59.12,29,9823.64,0.6018135843740202,0,2,4475.342476211193,-237.75324156059884,Doctor
396.45,49,9690.15,4.091267937028839,1,2,4343.328034498546,100.12040747693612,Engineer
255.26,45,14815.87,1.722882287709058,0,2,9468.375366235,-62.873156686219545,Doctor
124.76,49,5764.72,2.1641987815540045,1,1,416.7786478362823,-154.81605665778963,Engineer
78.13,26,900.61,8.675231232164865,3,0,-4447.51643600251,-180.58021059125636,Student
649.28,75,4875.86,13.316214985664068,2,1,-469.79714366326607,373.60916241678854,Retired
795.31,66,7914.88,10.048288792754912,0,1,2569.8106488112135,506.5458863122865,Doctor
335.63,55,1019.39,32.92459215805531,2,0,-4327.639848664456,77.0518398010787,Retired
328.47,63,4323.66,7.597035844631632,2,1,-1023.3779714842849,55.10690095508289,Retired
34.02,38,14214.48,0.23933341212622625,0,2,8866.032338650894,-281.5095411627382,Doctor
241.42,57,13357.02,1.8074390844664452,0,2,8009.499270455589,-70.48784641503858,Doctor
55.32,19,241.79,22.87935812068324,3,0,-5106.4656938502185,-200.16697120333774,Student
304.31,27,868.61,35.03413499729453,3,0,-4478.594385621843,46.415920506649684,Student
435.27,74,4673.28,9.314014995891537,2,1,-673.2907724953884,160.436626607554,Retired
164.49,26,1509.27,10.898646365461449,3,0,-3838.496092486897,-96.78078605316753,Student
510.24,19,781.7,65.27312268133555,3,0,-4564.688952728284,253.5086633082335,Student
22.01,41,1335.09,1.6485779984869935,1,0,-4013.2491249555096,-238.71237418675264,Engineer
425.34,69,3907.54,10.885109301504272,2,0,-1439.0739719789221,153.80713079078828,Retired
424.56,51,5183.85,8.190051795480192,1,1,-162.80086139188825,147.49996815659318,Engineer
85.43,67,14904.9,0.5731672134667123,0,2,9556.702838246496,-233.01334357644234,Doctor
169.5,28,918.88,18.446369493296185,3,0,-4428.870408423919,-89.0372050289809,Student
104.63,62,4477.78,2.3366489644422015,2,1,-870.215782214872,-169.44497569458497,Retired
316.95,25,1324.03,23.93827934412362,3,0,-4023.104798189935,56.7832353608174,Student
60.54,57,3534.93,1.712622315010481,2,0,-1813.249540386541,-209.5311649178205,Retired
292.56,68,4638.37,6.3073881557529905,2,1,-708.8175293579125,17.842803808363442,Retired
386.52,48,5630.61,6.86462035196897,1,1,283.7883558757221,107.53479953820323,Engineer
112.07,23,930.3,12.046651617757712,3,0,-4417.691400234362,-146.68543278264497,Student
568.52,46,5499.91,10.33689642194145,1,1,153.86520820885744,290.1093361043529,Engineer
263.99,79,4175.02,6.323083482234814,2,1,-1172.2706693340897,-8.730869209125842,Retired
349.64,48,6651.62,5.256463838884362,1,1,1304.629984828739,66.28291533753742,Engineer
601.4,56,8458.29,7.110184209810728,1,1,3112.370273961359,310.3135582061841,Engineer
5.77,50,13988.12,0.041249288682110245,0,2,8639.569401546352,-308.77604846041874,Doctor
201.33,42,2585.07,7.788183685548167,1,0,-2762.5226183914906,-64.60403544496435,Engineer
298.42,56,3014.75,9.898664897586865,2,0,-2332.4153930656125,30.694926410846847,Retired
521.06,25,1951.42,26.70158141250986,3,0,-3394.8478470476252,258.21626953875943,Student
117.28,60,3665.77,3.1993278356252577,1,0,-1682.165387224276,-153.32528191775285,Engineer
189.12,32,977.01,19.357017840144934,1,0,-4370.652776386539,-69.64145564931891,Engineer
133.55,44,3846.28,3.4721861122955167,1,0,-1501.608958564971,-137.84104444754146,Engineer
143.21,35,6374.82,2.246494802990516,1,1,1026.932177712074,-138.98243949627087,Engineer
24.77,62,5866.01,0.422263173775701,2,1,517.6565244587973,-255.2279015045739,Retired
233.92,26,6537.62,3.578060517436009,3,1,1190.1065134334767,-48.976491978878045,Student
232.12,37,6689.87,3.469723626916517,1,1,1342.3618806041377,-51.41309502464682,Engineer
162.63,22,634.17,25.644543261270634,3,0,-4713.629502627624,-94.48779995543714,Student
91.53,44,14676.05,0.6236691752889912,0,2,9327.85176698066,-225.96911049427047,Doctor
120.29,19,1362.39,8.829336680392545,3,0,-3985.5697685128275,-140.40614455581988,Student
174.25,50,10528.34,1.655056732590323,0,2,5180.555700325754,-125.61456002191872,Doctor
183.71,38,552.52,33.249475132121916,1,0,-4795.182196726402,-72.82595146951016,Engineer
345.39,58,6451.96,5.35325699477368,1,1,1104.967014568545,62.898482368664645,Engineer
922.55,63,4715.84,19.56279263079324,2,1,-628.6651131931903,647.6076407595802,Retired
259.91,49,7176.86,3.6215002103984197,0,1,1829.481320677066,-25.687168903682448,Doctor
154.71,34,1523.72,10.153440264615545,0,0,-3824.075839568507,-106.63042493096759,Doctor
1340.19,54,8654.28,15.48586364203608,1,1,3311.5247693916453,1048.1849281576237,Engineer
24.56,64,9869.93,0.24883661788888067,0,2,4521.529381145768,-272.463192539439,Doctor
568.07,48,10556.81,5.381076291038676,0,2,5210.713840280151,268.0159049239604,Doctor
9.61,58,12883.91,0.07458915810495416,0,2,7535.400053514187,-300.2326969442789,Doctor
392.96,24,791.65,49.63809764416093,3,0,-4555.205616196307,135.78208506000425,Student
716.93,60,4064.02,17.64090727899961,2,0,-1281.3639723535425,444.79046714865945,Retired
223.85,53,2929.91,7.640166421494175,1,0,-2417.5750251072136,-43.55144058467724,Engineer
230.66,21,618.05,37.32060512903487,3,0,-4729.481669579083,-26.075332784970982,Student
442.12,19,1375.8,32.13548480883849,3,0,-3970.8205394817505,181.9125321667015,Student
644.17,29,1143.52,56.33220232265286,1,0,-4202.263388156268,385.5876545539056,Engineer
508.68,51,7708.41,6.5990262583334305,1,1,2362.094097514818,220.8020831527068,Engineer
858.63,27,1872.96,45.84347770374167,3,0,-3471.888206620997,596.5376120181166,Student
25.36,57,201.04,12.614405093513728,1,0,-5147.272718451955,-230.19879081874848,Engineer
147.62,71,2115.8,6.977029965025048,2,0,-3231.9790262236033,-116.28421788927096,Retired
115.02,37,7643.66,1.504776507589296,0,1,2295.639216481766,-172.57385373761713,Doctor
383.37,30,8901.93,4.306594188001927,1,1,3555.036042305571,90.38103921230288,Engineer
98.54,20,9383.43,1.0501490393171795,3,2,4035.294680147118,-196.47675039222588,Student
83.24,55,1181.31,7.046414573651286,0,0,-4166.755892057135,-176.67953803208792,Doctor
196.16,27,9418.86,2.0826299573409095,1,2,4071.1527581259115,-99.01223808378947,Engineer
129.94,32,7954.92,1.6334545161987801,1,1,2606.9527136962315,-158.98598834271476,Engineer
306.9,46,9418.08,3.258625961979512,1,2,4070.8729078459646,11.738987211092478,Engineer
114.98,59,6144.68,1.8712121705280014,2,1,796.7052649587595,-166.2037634529118,Retired
143.03,63,7981.45,1.7920302701890007,2,1,2633.5789193425653,-145.97288146931004,Retired
1045.22,53,1829.9,57.11896824963113,2,0,-3514.132181761315,783.5918855193717,Retired
245.54,25,985.06,24.926400422309303,3,0,-4362.380738325657,-13.124408794428376,Student
254.37,51,8849.26,2.8744776399382546,1,1,3501.8406950119506,-38.35455437642338,Engineer
213.76,78,3528.72,6.057720646580063,2,0,-1818.780105976471,-56.19968926980596,Retired
327.86,40,480.16,68.28140619793402,1,0,-4866.990442728513,72.60641757861771,Engineer
2.5,47,12145.27,0.020584145103402396,0,2,6796.724242830232,-304.2139409641421,Doctor
300.08,68,13546.75,2.2151438536918446,0,2,8199.493525825103,-12.635542907181673,Doctor
56.98,43,5688.37,1.0016929278510363,1,1,340.13177724762954,-222.28267530898404,Engineer
407.65,26,8346.64,4.88400122684098,1,1,2999.851215335576,117.02327962681733,Engineer
115.83,39,6481.04,1.7872131633194672,1,1,1133.03894695722,-166.81058314798867,Engineer
53.57,69,1651.33,3.244051764335415,2,0,-3696.8437771470917,-208.43028995006662,Retired
63.34,46,11174.94,0.5668039380972067,0,2,5826.666272013758,-239.26088040967082,Doctor
331.65,41,4172.57,7.948338793597232,1,1,-1174.4817320081766,58.91191617222961,Engineer
5.04,56,5558.36,0.09067422764988235,2,1,209.91806140440804,-273.65808030523965,Retired
214.54,70,11151.53,1.9238615687712803,0,2,5803.937413279863,-87.96023289208796,Doctor
598.81,57,1415.52,42.303181869560305,0,0,-3930.3961004075163,338.7097508679884,Doctor
841.28,26,1103.64,76.22775542749446,3,0,-4241.3386898433055,583.3642781189046,Student
38.15,26,303.68,12.562565858798735,3,0,-5044.619683959814,-217.8894070197308,Student
1036.66,58,5541.57,18.706972933663206,0,1,197.54256685946802,758.1245936073188,Doctor
124.72,33,6309.8,1.9766078164125647,1,1,961.8311657419827,-157.19810461108932,Engineer
302.45,78,5133.61,5.891565584452266,2,1,-213.52703198887502,25.62251157558245,Retired
208.04,47,9344.98,2.2262219929844687,1,2,3997.3508099570054,-86.79531347992861,Engineer
5.77,23,1117.97,0.5161140281045108,3,0,-4230.458071072869,-254.07698757561917,Student
381.33,56,11835.35,3.2219579480116765,0,2,6488.447414395106,75.86951009778966,Doctor
16.16,50,14401.17,0.11221310490744849,0,2,9052.658957267635,-300.1446752872956,Doctor
486.08,18,1748.69,27.79680789619658,3,0,-3597.737706750182,224.13789336468454,Student
336.39,21,1000.46,33.62353317473962,3,0,-4346.612517620588,77.87207316932898,Student
997.43,69,6810.05,14.646441656081818,0,1,1465.860549139683,713.412203613271,Doctor
234.57,23,263.98,88.8590044700356,3,0,-5083.636112689244,-19.133892415005135,Student
6.0,30,5442.76,0.11023818797815813,0,1,94.2899375802408,-272.23758298818257,Doctor
1049.92,80,2037.85,51.52096572367937,2,0,-3306.1173636984286,787.2722502778969,Retired
227.14,18,341.94,66.42685851318944,3,0,-5005.668533733443,-27.561951085852343,Student
233.74,66,1066.59,21.91470011907106,2,0,-4280.842445226821,-25.305931464363,Retired
113.02,69,6077.96,1.8595054919742806,2,1,729.9907546848644,-167.86762527186312,Retired
45.85,20,1659.15,2.7634632191182233,3,0,-3689.120522215452,-216.25282039873574,Student
973.39,77,2042.22,47.66332716357689,2,0,-3302.0733895195817,710.6401827511243,Retired
415.5,66,10113.66,4.10830500530965,0,2,4766.937386799665,117.38211806282146,Doctor
265.76,54,4446.17,5.977279321303504,2,1,-901.1484011098355,-8.15455630895488,Retired
69.4,80,6452.77,1.075507107800216,2,1,1104.6239848235955,-213.07164750114387,Retired
332.93,35,2788.2,11.94067857399039,1,0,-2558.8453047160565,66.18796357680947,Engineer
267.9,20,596.16,44.937600644122384,3,0,-4751.228062516166,11.465312301031929,Student
496.03,61,12904.66,3.843805261045235,0,2,7558.2442223648,185.99636650598148,Doctor
376.26,37,9062.4,4.1518802966101696,1,1,3715.4828723980017,82.59577316956091,Engineer
83.02,36,9009.56,0.9214656431612643,1,1,3661.383967463452,-210.38504805656532,Engineer
93.26,20,1152.2,8.094080888734595,3,0,-4195.870917228671,-166.55098731363705,Student
803.37,68,12168.37,6.602116799538475,0,2,6823.29258064322,496.41903745868706,Doctor
35.76,23,611.86,5.84447422613016,3,0,-4736.443621755444,-221.79099013517265,Student
28.53,62,8670.53,0.32904562927525766,0,1,3322.1585809123453,-263.39576173436114,Doctor
139.53,53,10098.86,1.3816410961237209,0,2,4750.935742037181,-158.49759190867036,Doctor
307.57,33,5307.74,5.7947450327257926,0,1,-39.43543312935799,29.94321825077185,Doctor
60.65,56,1047.28,5.791192422274846,2,0,-4300.878125159356,-198.7254948216109,Retired
74.86,70,6921.48,1.0815605910874553,0,1,1573.3390131210354,-209.6186306570693,Doctor
117.97,51,1475.46,7.995472598376099,2,0,-3872.4673310188973,-143.19229667288704,Retired
126.21,75,5669.66,2.22605941096997,2,1,321.75980123671616,-152.92963554783276,Retired
506.28,53,1309.95,38.64880338944234,2,0,-4036.3619125255364,246.5571366238322,Retired
304.35,31,4057.1,7.501663749969191,1,0,-1290.0802288941718,32.089892987730366,Engineer
281.85,22,1585.98,17.771346423031815,3,0,-3761.3004327272192,20.39916264830191,Student
777.88,31,6825.55,11.396590750928496,1,1,1480.3700961404484,493.7530761841415,Engineer
119.18,56,5516.5,2.160427807486631,2,1,168.54663090155736,-159.32997421225107,Retired
177.19,76,5343.3,3.31611550914229,2,1,-4.377208630995483,-100.5514973568772,Retired
260.88,22,903.05,28.88876584906705,3,0,-4444.335801104063,2.671081542703064,Student
169.47,24,1806.16,9.38288966647473,3,0,-3541.587720352406,-93.11249270913987,Student
73.23,26,787.74,9.296214487013483,3,0,-4560.407481283862,-184.97977096228448,Student
1362.55,29,2429.68,56.07940140265385,1,0,-2913.019695793425,1098.1703267217313,Engineer
